Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,movie_title,movie_id,language,poster,popularity,vote_average
1/20/22,Edward Scissorhands,1990,https://boxd.it/2v9t9f,3,,,1/20/22,Edward Scissorhands,162,en,https://image.tmdb.org/t/p/original'/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,63.739,7.717
1/21/22,Encanto,2021,https://boxd.it/2vj3NX,4,,,1/21/22,Encanto,568124,en,https://image.tmdb.org/t/p/original'/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,135.294,7.605
1/22/22,The Unholy,2021,https://boxd.it/2vyeRh,1,,,1/22/22,The Unholy,632357,en,https://image.tmdb.org/t/p/original'/bShgiEQoPnWdw4LBrYT5u18JF34.jpg,36.336,6.612
1/23/22,The Silence of the Lambs,1991,https://boxd.it/2vzpv9,4,,,1/22/22,The Silence of the Lambs,274,en,https://image.tmdb.org/t/p/original'/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,15.477,8.348
2/11/22,Spider-Man: No Way Home,2021,https://boxd.it/2zl0fj,4.5,,,2/10/22,Spider-Man: No Way Home,634649,en,https://image.tmdb.org/t/p/original'/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,277.357,7.967
2/11/22,Scream,2022,https://boxd.it/2zkXGL,4,,,2/11/22,Scream,646385,en,https://image.tmdb.org/t/p/original'/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,83.966,6.7
2/16/22,Call Me by Your Name,2017,https://boxd.it/2Ak2qb,4.5,Yes,,2/16/22,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
2/16/22,Call Me by Your Name,2017,https://boxd.it/2Ak2qb,4.5,Yes,,2/16/22,Call Me by Your Name,398818,en,https://image.tmdb.org/t/p/original'/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,64.968,8.144
4/7/22,Moonfall,2022,https://boxd.it/2Jkscb,2,,,4/6/22,Moonfall,406759,en,https://image.tmdb.org/t/p/original'/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,74.829,6.329
4/7/22,Death on the Nile,2022,https://boxd.it/2JksS7,2,,,4/6/22,Death on the Nile,505026,en,https://image.tmdb.org/t/p/original'/kVr5zIAFSPRQ57Y1zE7KzmhzdMQ.jpg,48.218,6.431
4/13/22,Ratatouille,2007,https://boxd.it/2KuLkH,,Yes,,4/11/22,Ratatouille,2062,en,https://image.tmdb.org/t/p/original'/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,114.424,7.82
4/15/22,Don't Look Up,2021,https://boxd.it/2KPMZj,3.5,,,4/15/22,Don't Look Up,646380,en,https://image.tmdb.org/t/p/original'/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,146.458,7.102
4/15/22,Don't Look Up,2021,https://boxd.it/2KPMZj,3.5,,,4/15/22,Don't Look Up,646380,en,https://image.tmdb.org/t/p/original'/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,146.458,7.102
4/24/22,Orphan,2009,https://boxd.it/2MxBhn,3.5,,,4/22/22,Orphan,21208,en,https://image.tmdb.org/t/p/original'/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,67.43,6.999
5/3/22,Gone Girl,2014,https://boxd.it/2O9tXZ,4,Yes,,5/3/22,Gone Girl,210577,en,https://image.tmdb.org/t/p/original'/lv5xShBIDPe7m4ufdlV0IAc7Avk.jpg,86.689,7.892
5/9/22,Clueless,1995,https://boxd.it/2P2FbX,4,,,5/8/22,Clueless,9603,en,https://image.tmdb.org/t/p/original'/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,144.884,7.279
5/9/22,All the Bright Places,2020,https://boxd.it/2PfeVl,2.5,,,5/9/22,All the Bright Places,342470,en,https://image.tmdb.org/t/p/original'/4SafxuMKQiw4reBiWKVZJpJn80I.jpg,30.328,7.652
5/15/22,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2Qf6fl,4,,,5/15/22,Doctor Strange in the Multiverse of Madness,453395,en,https://image.tmdb.org/t/p/original'/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,111.825,7.304
6/1/22,Everything Everywhere All at Once,2022,https://boxd.it/2TaPOx,5,,,5/31/22,Everything Everywhere All at Once,545611,en,https://image.tmdb.org/t/p/original'/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,75.851,7.791
7/17/22,The Sea Beast,2022,https://boxd.it/31SKKZ,4,,,7/17/22,The Sea Beast,560057,en,https://image.tmdb.org/t/p/original'/9Zfv4Ap1e8eKOYnZPtYaWhLkk0d.jpg,40.263,7.37
7/18/22,The Impossible,2012,https://boxd.it/326Nrf,4,,,7/17/22,The Impossible,80278,en,https://image.tmdb.org/t/p/original'/1kBYwWu24QKf47mumWEIAzo5tIu.jpg,33.344,7.368
7/27/22,Thor: Love and Thunder,2022,https://boxd.it/34jLTF,2,,,7/27/22,Thor: Love and Thunder,616037,en,https://image.tmdb.org/t/p/original'/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,202.281,6.466
7/28/22,What We Do in the Shadows,2014,https://boxd.it/34wjQT,4,,,7/28/22,What We Do in the Shadows,246741,en,https://image.tmdb.org/t/p/original'/a2rD3i3DBMeYbA34rBv6z3B9S3a.jpg,23.531,7.573
8/7/22,The Witch,2015,https://boxd.it/36CDpN,4,,,8/7/22,The Witch,310131,en,https://image.tmdb.org/t/p/original/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,51.777,6.953
8/12/22,The Billionaire,2011,https://boxd.it/37ENu7,3,,,8/12/22,The Billionaire,77094,th,https://image.tmdb.org/t/p/original'/gjolEycpddEirN0Tui92Zglprhb.jpg,9.702,7.3
8/24/22,Prometheus,2012,https://boxd.it/3a5PjR,3.5,,,8/24/22,Prometheus,70981,en,https://image.tmdb.org/t/p/original'/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,227.437,6.552
8/25/22,Alien: Covenant,2017,https://boxd.it/3ah1yr,3,,,8/25/22,Alien: Covenant,126889,en,https://image.tmdb.org/t/p/original'/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,364.891,6.111
9/2/22,Cloverfield,2008,https://boxd.it/3bK1et,2.5,Yes,,9/2/22,Cloverfield,7191,en,https://image.tmdb.org/t/p/original'/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,86.436,6.684
9/5/22,Juno,2007,https://boxd.it/3c92Mr,5,,,9/4/22,Juno,7326,en,https://image.tmdb.org/t/p/original'/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,39.163,7.054
9/5/22,Alien,1979,https://boxd.it/3cl8an,4,,,9/5/22,Alien,348,en,https://image.tmdb.org/t/p/original'/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,417.155,8.154
9/9/22,Ghost,1990,https://boxd.it/3d1QIH,4,,,9/9/22,Ghost,251,en,https://image.tmdb.org/t/p/original'/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,80.115,7.212
9/13/22,The Perks of Being a Wallflower,2012,https://boxd.it/3dQ8ev,,Yes,,9/13/22,The Perks of Being a Wallflower,84892,en,https://image.tmdb.org/t/p/original'/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg,44.459,7.792
9/18/22,The Notebook,2004,https://boxd.it/3eFIC1,,Yes,,9/18/22,The Notebook,11036,en,https://image.tmdb.org/t/p/original'/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,72.95,7.888
9/19/22,Her,2013,https://boxd.it/3eWoCJ,3,,,9/19/22,Her,152601,en,https://image.tmdb.org/t/p/original'/lEIaL12hSkqqe83kgADkbUqEnvk.jpg,162.11,7.857
10/13/22,The Terminal,2004,https://boxd.it/3jPOn7,3,,,10/13/22,The Terminal,594,en,https://image.tmdb.org/t/p/original'/pXNomqKcKXAQbuWxehb2N3XFKfn.jpg,50.18,7.341
10/26/22,Can You Keep a Secret?,2019,https://boxd.it/3mBbDJ,0.5,,,10/26/22,Can You Keep a Secret?,537739,en,https://image.tmdb.org/t/p/original'/7QtCOlHESPEYtFANmd4yLqsYKZ4.jpg,21.822,6.455
