entry_id,name,year,letterboxd_uri,rating,rewatch,watched_date,movie_id,language,poster,popularity,vote_average,release_date,revenue,runtime,tagline,genre_1,genre_2,genre_3,genre_4,genre_5,country_1,country_2,country_3,country_4,director_1,director_2,director_3
66,Chef,2014,https://boxd.it/2qTuMf,3.5,,2022-01-03,212778,en,https://image.tmdb.org/t/p/original'/yMtKHR6VG1Yagvv5F7IFpsGBm66.jpg,29.238,7.112,2014-05-08,45967935,114,Starting from scratch never tasted so good.,Comedy,,,,,US,,,,Jon Favreau,,
67,Howl's Moving Castle,2004,https://boxd.it/2rb5jj,3,,2022-01-04,4935,ja,https://image.tmdb.org/t/p/original'/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,108.841,8.409,2004-09-09,236049757,119,The two lived there.,Fantasy,Animation,Adventure,,,JP,,,,Hayao Miyazaki,,
68,Inglourious Basterds,2009,https://boxd.it/2rHls1,4.5,Yes,2022-01-06,16869,en,https://image.tmdb.org/t/p/original'/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,125.085,8.218,2009-08-02,321457747,153,A basterd's work is never done.,Drama,Thriller,War,,,US,,,,Quentin Tarantino,,
69,1917,2019,https://boxd.it/2soGCR,4,,2022-01-09,530915,en,https://image.tmdb.org/t/p/original'/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,47.986,7.993,2019-12-25,394638258,119,Time is the enemy,War,Action,Drama,History,,US,,,,Sam Mendes,,
70,Romy and Michele's High School Reunion,1997,https://boxd.it/2tGHNV,5,,2022-01-14,9611,en,https://image.tmdb.org/t/p/original'/etg1pHDwJfWbr5XeOkVxErjBRld.jpg,21.115,6.206,1997-04-25,29235353,92,The Blonde Leading The Blonde.,Comedy,Romance,,,,US,,,,David Mirkin,,
71,Team Thor,2016,https://boxd.it/2tGPPF,,,2022-01-14,413279,en,https://image.tmdb.org/t/p/original'/jVSmX89BvsQV2z3wh2IVYVNVw1a.jpg,11.067,7.289,2016-08-28,0,3,,Comedy,Science Fiction,,,,US,,,,Taika Waititi,,
72,The Revenant,2015,https://boxd.it/2tVGYj,3.5,,2022-01-15,281957,en,https://image.tmdb.org/t/p/original'/tSaBkriE7TpbjFoQUFXuikoz0dF.jpg,49.08,7.532,2015-12-25,532950503,157,Blood lost. Life found.,Western,Drama,Adventure,,,US,,,,Alejandro González Iñárritu,,
73,Enemy,2013,https://boxd.it/2uLf35,3.5,,2022-01-18,181886,en,https://image.tmdb.org/t/p/original/coJzyPTkSp4RMRGdgE7pXmJbCiG.jpg,47.54,6.874,2014-03-14,3396726,91,You can't escape Yourself!,Thriller,Mystery,,,,CA,,,,Denis Villeneuve,,
74,Trixie Mattel: Moving Parts,2019,https://boxd.it/2uYUoz,4,Yes,2022-01-19,589367,en,https://image.tmdb.org/t/p/original'/dRP8bHtrV2lTITjSpFKptuqR2Gq.jpg,6.369,6.777,2019-04-25,0,92,,Documentary,,,,,US,,,,Nicholas Zeig-Owens,,
75,Edward Scissorhands,1990,https://boxd.it/2v9t9f,3,,2022-01-20,162,en,https://image.tmdb.org/t/p/original'/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,63.739,7.717,1990-12-07,53000000,105,Innocence is what he knows. Beauty is what she sees.,Fantasy,Drama,Romance,,,US,,,,Tim Burton,,
