Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
9/10/23,Enola Holmes,2020,https://boxd.it/4Pgb63,3,,,6/6/23
9/10/23,Rocky,1976,https://boxd.it/4Pgb6d,2.5,,,6/12/23
9/10/23,Before Midnight,2013,https://boxd.it/4Pgb6n,4,,,6/21/23
9/10/23,Before Sunset,2004,https://boxd.it/4Pgb6x,4.5,,,6/21/23
9/10/23,Before Sunrise,1995,https://boxd.it/4Pgb6H,5,,,6/21/23
9/10/23,Desert Flower,2009,https://boxd.it/4Pgb6R,3.5,,,6/25/23
9/10/23,The Lobster,2015,https://boxd.it/4Pgb71,3.5,,,7/1/23
9/10/23,10 Cloverfield Lane,2016,https://boxd.it/4Pgb7b,4,Yes,,7/2/23
9/10/23,Snowden,2016,https://boxd.it/4Pgb7l,4,,,7/3/23
9/10/23,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4Pgb7v,4,,,7/4/23
9/10/23,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4Pgb7F,4.5,,,7/25/23
9/10/23,Awakenings,1990,https://boxd.it/4Pgb7P,4,,,7/26/23
9/10/23,Confessions of a Shopaholic,2009,https://boxd.it/4Pgb89,2,,,7/30/23
9/10/23,Deadpool 2,2018,https://boxd.it/4Pgb97,3.5,Yes,,8/2/23
9/10/23,Deadpool,2016,https://boxd.it/4Pgb9h,3.5,Yes,,8/2/23
9/10/23,Uncut Gems,2019,https://boxd.it/4Pgb9r,3.5,,,8/5/23
9/10/23,The Help,2011,https://boxd.it/4Pgb9B,3,,,8/20/23
9/10/23,Billionaire Boys Club,2018,https://boxd.it/4PiZHd,1,,,9/10/23
9/13/23,Spirited Away,2001,https://boxd.it/4QeiZT,5,,,9/13/23
9/14/23,Before Sunrise,1995,https://boxd.it/4QtqL1,5,Yes,,9/14/23
9/15/23,Barbie,2023,https://boxd.it/4QvGAx,4,,,9/14/23
9/22/23,The Menu,2022,https://boxd.it/4SEz25,4,,,9/22/23
9/30/23,Elemental,2023,https://boxd.it/4UZKVl,3.5,,,9/30/23
10/13/23,"Crazy, Stupid, Love.",2011,https://boxd.it/4Znf79,4,Yes,,10/13/23
10/17/23,Superbad,2007,https://boxd.it/50ur4f,4,Yes,,10/16/23
10/18/23,Cruella,2021,https://boxd.it/510vHJ,5,,,10/18/23
10/23/23,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/52CDxR,3.5,,,10/23/23
11/2/23,The Day After Tomorrow,2004,https://boxd.it/568nzD,2.5,Yes,,11/2/23
11/2/23,The Day the Earth Stood Still,2008,https://boxd.it/568nXl,1,Yes,,11/2/23
11/2/23,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/569cTT,3,Yes,,11/2/23
11/3/23,Fire of Love,2022,https://boxd.it/56an2N,4,,,11/2/23
11/4/23,No Hard Feelings,2023,https://boxd.it/56M8jl,2,,,11/4/23
11/15/23,Kick-Ass,2010,https://boxd.it/5afGPl,,Yes,,11/14/23
11/15/23,Kick-Ass 2,2013,https://boxd.it/5ahtXZ,,Yes,,11/15/23
11/19/23,Instant Family,2018,https://boxd.it/5bwKsX,,,,11/19/23
11/22/23,Just Friends,2005,https://boxd.it/5cr4oD,,Yes,,11/22/23
11/25/23,Bo Burnham: Inside,2021,https://boxd.it/5dvSNv,,Yes,,11/25/23
12/5/23,Godzilla,2014,https://boxd.it/5gW5YZ,,Yes,,12/4/23
12/5/23,Kong: Skull Island,2017,https://boxd.it/5h3G6f,,Yes,,12/5/23
12/7/23,Godzilla: King of the Monsters,2019,https://boxd.it/5hwyp7,2,Yes,,12/7/23
12/8/23,Thank You for Smoking,2005,https://boxd.it/5hFYH5,3,,,12/7/23
12/8/23,Crying Ladies,2003,https://boxd.it/5hS099,,,,12/8/23
12/9/23,Godzilla vs. Kong,2021,https://boxd.it/5hXlk3,3.5,Yes,,12/8/23
12/10/23,(500) Days of Summer,2009,https://boxd.it/5iHAVP,2,,,12/10/23
12/12/23,Notting Hill,1999,https://boxd.it/5jnDUp,,Yes,,12/12/23
12/16/23,Asteroid City,2023,https://boxd.it/5krjE9,4,,,12/15/23
12/31/23,Finch,2021,https://boxd.it/5rK6cR,4,,,12/30/23
1/2/24,Godzilla Minus One,2023,https://boxd.it/5t1IJ3,4,,2024 cinema,1/1/24
1/11/24,GoodFellas,1990,https://boxd.it/5yTaB3,3.5,,,1/10/24
